,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 0-3 Month Treasury Bond ETF
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"145,950,000.00",17.91,"145,950,000.00","145,950,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
TREASURY NOTE,Treasury,Fixed Income,"121,350,099.23",14.89,"121,350,099.23","119,878,000.00",9128285V8,US9128285V80,BJ7M2Q1,100.08,United States,-,USD,0.05,0.53,1.0,"Jan 15, 2022",2.5,0.04,-,0.53,0.04,0.53,USD,"Jan 15, 2019","Jan 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"121,292,444.73",14.88,"121,292,444.73","120,190,000.00",912828V72,US912828V723,BDFFCZ9,100.14,United States,-,USD,0.08,0.24,1.0,"Jan 31, 2022",1.88,0.08,-,0.24,0.08,0.24,USD,"Jan 31, 2017","Jan 31, 2017"
TREASURY BILL,Cash and/or Derivatives,Cash,"120,640,587.14",14.8,"120,640,587.14","120,643,000.00",912796Q93,US912796Q938,BP48509,100.0,United States,-,USD,0.09,0.02,1.0,"Feb 01, 2022",0.0,0.09,-,0.02,0.09,0.02,USD,"Oct 05, 2021","Oct 05, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"112,057,301.99",13.75,"112,057,301.99","112,061,000.00",912796R84,US912796R845,BP08TF6,100.0,United States,-,USD,0.13,0.03,1.0,"Feb 15, 2022",0.0,0.12,-,0.03,0.12,0.03,USD,"Oct 19, 2021","Oct 19, 2021"
TREASURY NOTE,Treasury,Fixed Income,"110,937,066.91",13.61,"110,937,066.91","110,000,000.00",912828J43,US912828J439,BVYY5G5,100.26,United States,-,USD,0.16,0.14,1.0,"Feb 28, 2022",1.75,0.16,-,0.14,0.16,0.14,USD,"Feb 28, 2015","Mar 02, 2015"
TREASURY BILL,Cash and/or Derivatives,Cash,"68,252,225.40",8.37,"68,252,225.40","68,254,000.00",912796K99,US912796K998,BP83D17,100.0,United States,-,USD,0.09,0.03,1.0,"Feb 03, 2022",0.0,0.09,-,0.03,0.09,0.03,USD,"Aug 05, 2021","Aug 05, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"62,137,539.82",7.62,"62,137,539.82","62,144,500.00",912796N21,US912796N216,BNBYGW5,99.99,United States,-,USD,0.21,0.05,1.0,"Mar 17, 2022",0.0,0.21,-,0.05,0.21,0.05,USD,"Sep 16, 2021","Sep 16, 2021"
UNITED STATES TREASURY,Cash and/or Derivatives,Cash,"59,508,274.21",7.3,"59,508,274.21","59,510,000.00",912796R76,US912796R761,BLR7GZ7,100.0,United States,-,USD,0.11,0.03,1.0,"Feb 08, 2022",0.0,0.11,-,0.03,0.11,0.03,USD,"Oct 12, 2021","Oct 12, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"19,998,900.00",2.45,"19,998,900.00","20,000,000.00",912796S26,US912796S264,BLN7VD4,99.99,United States,-,USD,0.16,0.03,1.0,"Mar 01, 2022",0.0,0.17,-,0.03,0.17,0.03,USD,"Nov 02, 2021","Nov 02, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"7,128,443.94",0.87,"7,128,443.94","7,129,000.00",912796M97,US912796M978,BLHM447,99.99,United States,-,USD,0.19,0.04,1.0,"Mar 10, 2022",0.0,0.19,-,0.04,0.19,0.04,USD,"Sep 09, 2021","Sep 09, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"2,199,975.80",0.27,"2,199,975.80","2,200,000.00",912796Q85,US912796Q854,BNM3HV7,100.0,United States,-,USD,0.07,0.02,1.0,"Jan 25, 2022",0.0,0.07,-,0.02,0.07,0.02,USD,"Sep 28, 2021","Sep 28, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"731,995.61",0.09,"731,995.61","732,000.00",912796Q77,US912796Q771,-,100.0,United States,-,USD,0.05,0.01,1.0,"Jan 18, 2022",0.0,0.05,-,0.01,0.05,0.01,USD,"Sep 21, 2021","Sep 21, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"53,999.95",0.01,"53,999.95","54,000.00",912796Q69,US912796Q698,BMG8X80,100.0,United States,-,USD,0.03,0.0,1.0,"Jan 11, 2022",0.0,0.03,-,0.0,0.03,0.0,USD,"Sep 14, 2021","Sep 14, 2021"
USD CASH,Cash and/or Derivatives,Cash,"-137,136,063.12",-16.82,"-137,136,063.12","-137,136,063.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
