ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY FLOATING RATE NOTE|TF|US912828Z450|912828Z45|United States|1056000|1057|1057|USD|ISHTFLO|1/31/2020|
12/30/2021|TREASURY FLOATING RATE NOTE|TFRN|US912828ZK94|912828ZK9|United States|1201400|1202|1202|USD|ISHTFLO|4/30/2020|
12/30/2021|TREASURY FLOATING RATE NOTE|TFRN|US91282CAA99|91282CAA9|United States|1145500|1146|1146|USD|ISHTFLO|7/31/2020|
12/30/2021|TREASURY FLOATING RATE NOTE|TFRN|US91282CAS08|91282CAS0|United States|169507700|169608|169608|USD|ISHTFLO|11/2/2020|
12/30/2021|TREASURY FLOATING RATE NOTE|TF|US91282CBK62|91282CBK6|United States|56213300|56249|56249|USD|ISHTFLO|2/1/2021|
12/30/2021|TREASURY FLOATING RATE NOTE|TFRN|US91282CBY66|91282CBY6|United States|30866900|30881|30881|USD|ISHTFLO|4/30/2021|
12/30/2021|TREASURY FLOATING RATE NOTE|TFRN|US91282CCQ24|91282CCQ2|United States|71846900|71863|71863|USD|ISHTFLO|8/2/2021|
12/30/2021|USD CASH|USD|||United States|-26199|-26|-26|USD|ISHTFLO|1/1/1989|
12/30/2021|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|9800000|9800|9800|USD|ISHTFLO|2/4/2009|
